序号,分类,小流域/区域名称,数据类型,是否可用,时空分辨率 / 备注,文件名或链接,数据来源,备注
91,小流域,南京松溪河,总磷,有,33日数据,,,
92,小流域,南京松溪河,氨氮,有,33日数据,,,
93,小流域,南京松溪河,COD,有,33日数据,,,
94,小流域,南京松溪河,降水量,有,两年,,,
95,小流域,南京松溪河,小型蒸发,有,两年，蒸发量未区分大小型,,,
96,小流域,南京松溪河,大型蒸发,有,两年，蒸发量未区分大小型,,,
97,小流域,南京松溪河,最低气温,有,两年,,,
98,小流域,南京松溪河,最高气温,有,两年,,,
99,小流域,南京松溪河,平均气温,有,两年,,,
100,小流域,南京松溪河,气压,有,两年,,,
101,小流域,南京松溪河,相对湿度,有,两年,,,
102,小流域,南京松溪河,风速,有,两年,,,
103,小流域,南京松溪河,太阳辐射（日照时数）,有,两年，给的是长短波净辐射值和向上向下长短波辐射值,,,
104,小流域,南京松溪河,常住人口数,无,-,,,
105,小流域,南京松溪河,污水处理率,无,-,,,
106,小流域,南京松溪河,生活污水排放量,无,-,,,
107,小流域,南京松溪河,农村粪便处理方式,无,-,,,
108,小流域,南京松溪河,农村粪便排放量,无,-,,,
109,小流域,南京松溪河,播种面积,无,-,,,
110,小流域,南京松溪河,园地面积,无,-,,,
111,小流域,南京松溪河,各类肥料氮磷施用量,无,-,,,
112,小流域,南京松溪河,作物产量,无,-,,,
113,小流域,南京松溪河,作物播种时间,无,-,,,
114,小流域,南京松溪河,作物施肥时间,无,-,,,
115,小流域,南京松溪河,作物灌溉时间,无,-,,,
116,小流域,南京松溪河,作物收割时间,无,-,,,
117,小流域,南京松溪河,规模上下各类畜禽存栏、出栏量,无,-,,,
118,小流域,南京松溪河,水产养殖量,无,-,,,
119,小流域,南京松溪河,点源排放位置,无,-,,,
120,小流域,南京松溪河,点源排放量,无,-,,,
121,小流域,江西信丰,DEM,有,-,xinfengdem.tif,,
122,小流域,江西信丰,土地利用,有,-,,,
123,小流域,江西信丰,土壤类型,有,-,,,
124,小流域,江西信丰,流域边界,有,-,,,
125,小流域,江西信丰,水系（河湖水库）矢量文件,有,-,,,
126,小流域,江西信丰,县镇行政区边界矢量文件,有,-,,,
127,小流域,江西信丰,流量,有,三年日尺度,,,
128,小流域,江西信丰,径流泥沙含量,无,-,,,
129,小流域,江西信丰,水库调度（如有）,无,-,,,
130,小流域,江西信丰,总氮,有,三年日尺度,,,
131,小流域,江西信丰,总磷,有,三年日尺度,,,
132,小流域,江西信丰,氨氮,有,三年日尺度,,,
133,小流域,江西信丰,COD,无,-,,,
134,小流域,江西信丰,降水量,有,四年,信丰-降水数据.xls,,
135,小流域,江西信丰,小型蒸发,无,-,,,
136,小流域,江西信丰,大型蒸发,无,-,,,
137,小流域,江西信丰,最低气温,有,三年,,,
138,小流域,江西信丰,最高气温,有,三年,,,
139,小流域,江西信丰,平均气温,有,三年,,,
140,小流域,江西信丰,气压,无,-,,,
141,小流域,江西信丰,相对湿度,有,三年,,,
142,小流域,江西信丰,风速,有,三年,,,
143,小流域,江西信丰,太阳辐射（日照时数）,有,三年,,,
144,小流域,江西信丰,常住人口数,有,一年年数据，但非整个流域，且未细化到村镇,,,
145,小流域,江西信丰,污水处理率,无,-,,,
146,小流域,江西信丰,生活污水排放量,无,-,,,
147,小流域,江西信丰,农村粪便处理方式,无,-,,,
148,小流域,江西信丰,农村粪便排放量,无,-,,,
149,小流域,江西信丰,播种面积,有,一年年数据，但非整个流域，且未细化到村镇,,,
150,小流域,江西信丰,园地面积,有,一年年数据，但非整个流域，且未细化到村镇,,,
151,小流域,江西信丰,各类肥料氮磷施用量,无,-,,,
152,小流域,江西信丰,作物产量,无,-,,,
153,小流域,江西信丰,作物播种时间,无,-,,,
154,小流域,江西信丰,作物施肥时间,无,-,,,
155,小流域,江西信丰,作物灌溉时间,无,-,,,
156,小流域,江西信丰,作物收割时间,无,-,,,
157,小流域,江西信丰,规模上下各类畜禽存栏、出栏量,有,一年年数据，但非整个流域，未区分规模以上和以下，且未细化到村镇,,,
158,小流域,江西信丰,水产养殖量,无,-,,,
159,小流域,江西信丰,点源排放位置,无,-,,,
160,小流域,江西信丰,点源排放量,无,-,,,
